,article_id,sentence_no
0,26,0
1,26,1
2,26,2
3,26,3
4,26,4
5,26,5
6,26,6
7,26,7
8,26,8
9,28,9
10,28,10
11,28,11
12,28,12
13,323,13
14,323,14
15,323,15
16,323,16
17,618,17
18,618,18
19,618,19
20,618,20
21,618,21
22,618,22
23,618,23
24,618,24
25,618,25
26,618,26
27,618,27
28,618,28
29,618,29
30,618,30
31,642,31
32,642,32
33,642,33
34,642,34
35,642,35
36,642,36
37,642,37
38,642,38
39,642,39
40,642,40
41,642,41
42,642,42
43,642,43
44,642,44
45,642,45
46,642,46
47,2978,47
48,2978,48
49,2978,49
50,2978,50
51,2978,51
52,2978,52
53,2978,53
54,2978,54
55,2978,55
56,2978,56
57,2978,57
58,2978,58
59,2978,59
60,2978,60
61,2978,61
62,2978,62
63,2978,63
64,2978,64
65,2978,65
66,2978,66
67,2978,67
68,2978,68
69,2978,69
70,2978,70
71,2978,71
72,2978,72
73,2978,73
74,2978,74
75,2978,75
76,2978,76
77,2978,77
78,2978,78
79,2978,79
80,2978,80
81,2978,81
82,2978,82
83,2978,83
84,2978,84
85,2978,85
86,2978,86
87,2978,87
88,2978,88
89,2978,89
90,2992,90
91,2992,91
92,2992,92
93,2992,93
94,2992,94
95,2992,95
96,2992,96
97,2992,97
98,2992,98
99,2992,99
100,2992,100
101,2992,101
102,2992,102
103,2992,103
104,2992,104
105,2992,105
106,2992,106
107,2992,107
108,2992,108
109,2992,109
110,2992,110
111,2992,111
112,2992,112
113,2992,113
114,2992,114
115,2992,115
116,2992,116
117,2992,117
118,2992,118
119,2992,119
120,2992,120
121,2992,121
122,2992,122
123,2992,123
124,2992,124
125,2992,125
126,2992,126
127,2992,127
128,3323,128
129,3323,129
130,3323,130
131,3323,131
132,3323,132
133,3323,133
134,3323,134
135,3323,135
136,3416,136
137,3416,137
138,3416,138
139,3416,139
140,3416,140
141,3416,141
142,3416,142
143,3416,143
144,3416,144
145,3416,145
146,3416,146
147,3552,147
148,3552,148
149,3552,149
150,3552,150
151,3552,151
152,3552,152
153,3552,153
154,3552,154
155,3552,155
156,3552,156
157,3552,157
158,3552,158
159,3552,159
160,3552,160
161,3552,161
162,3552,162
163,3552,163
164,3552,164
165,3552,165
166,3552,166
167,3552,167
168,3552,168
169,3552,169
170,3552,170
171,3552,171
172,3552,172
173,3552,173
174,3552,174
175,3552,175
176,3552,176
177,3552,177
178,3552,178
179,3552,179
180,3552,180
181,3552,181
182,3552,182
183,3552,183
184,3552,184
185,3552,185
186,3552,186
187,3552,187
188,3578,188
189,3578,189
190,3578,190
191,3578,191
192,3578,192
193,3578,193
194,3578,194
195,3578,195
196,4544,196
197,4544,197
198,4544,198
199,4544,199
200,4867,200
201,4867,201
202,4867,202
203,4884,203
204,4884,204
205,4884,205
206,4884,206
207,5090,207
208,5090,208
209,5156,209
210,5156,210
211,5156,211
212,5190,212
213,5190,213
214,5190,214
215,5214,215
216,5214,216
217,5214,217
218,5226,218
219,5226,219
220,5458,220
221,5458,221
222,5458,222
223,5548,223
224,5548,224
225,5565,225
226,5565,226
227,5565,227
228,5619,228
229,5619,229
230,5619,230
231,5619,231
232,5619,232
233,5619,233
234,5619,234
235,5619,235
236,5619,236
237,5619,237
238,5619,238
239,5619,239
240,5831,240
241,5831,241
242,5831,242
243,5898,243
244,5898,244
245,5898,245
246,5898,246
247,5997,247
248,5997,248
249,5997,249
250,5997,250
251,5997,251
252,5997,252
253,5997,253
254,5997,254
255,5997,255
256,5997,256
257,6034,257
258,6034,258
259,6034,259
260,6034,260
261,6034,261
262,6034,262
263,6034,263
264,6034,264
265,6034,265
266,6034,266
267,6034,267
268,6034,268
269,6034,269
270,6034,270
271,6079,271
272,6079,272
273,6079,273
274,6079,274
275,6179,275
276,6179,276
277,6179,277
278,6179,278
279,6182,279
280,6184,280
281,6184,281
282,6184,282
283,6481,283
284,6481,284
285,6481,285
286,6481,286
287,6481,287
288,6481,288
289,6481,289
290,6481,290
291,6481,291
292,6481,292
293,6481,293
294,6481,294
295,6481,295
296,6481,296
297,6481,297
298,6481,298
299,6481,299
300,6481,300
301,6481,301
302,6481,302
303,6481,303
304,6481,304
305,6481,305
306,6512,306
307,6512,307
308,6512,308
309,6512,309
310,6512,310
311,6512,311
312,6512,312
313,6512,313
314,6587,314
315,6587,315
316,6587,316
317,6587,317
318,6637,318
319,6637,319
320,6637,320
321,6637,321
322,7016,322
323,7016,323
324,7016,324
325,7016,325
326,7016,326
327,7016,327
328,7016,328
329,7016,329
330,7016,330
331,7016,331
332,7016,332
333,7016,333
334,7027,334
335,7027,335
336,7027,336
337,7027,337
338,7027,338
339,7027,339
340,7027,340
341,7027,341
342,7027,342
343,7027,343
344,7027,344
345,7027,345
346,7027,346
347,7027,347
348,7027,348
349,7027,349
350,7027,350
351,7027,351
352,7027,352
353,7027,353
354,7027,354
355,7027,355
356,7038,356
357,7038,357
358,7038,358
359,7038,359
360,7038,360
361,7038,361
362,7038,362
363,7038,363
364,7038,364
365,7038,365
366,7038,366
367,7038,367
368,7038,368
369,7038,369
370,7038,370
371,7038,371
372,7038,372
373,7038,373
374,7038,374
375,7038,375
376,7038,376
377,7038,377
378,7038,378
379,7038,379
380,7038,380
381,7038,381
382,7038,382
383,7038,383
384,7042,384
385,7042,385
386,7042,386
387,7042,387
388,7042,388
389,7042,389
390,7042,390
391,7042,391
392,7042,392
393,7042,393
394,7042,394
395,7042,395
396,7042,396
397,7042,397
398,7042,398
399,7042,399
400,7042,400
401,7042,401
402,7044,402
403,7044,403
404,7044,404
405,7044,405
406,7044,406
407,7047,407
408,7047,408
409,7047,409
410,7047,410
411,7047,411
412,7047,412
413,7047,413
414,7047,414
415,7047,415
416,7047,416
417,7047,417
418,7047,418
419,7047,419
420,7047,420
421,7047,421
422,7047,422
423,7047,423
424,7047,424
425,7047,425
426,7047,426
427,7058,427
428,7058,428
429,7058,429
430,7058,430
431,7058,431
432,7058,432
433,7058,433
434,7058,434
435,7058,435
436,7058,436
437,7058,437
438,7058,438
439,7058,439
440,7058,440
441,7058,441
442,7058,442
443,7058,443
444,7058,444
445,7058,445
446,7058,446
447,7058,447
448,7068,448
449,7068,449
450,7068,450
451,7068,451
452,7068,452
453,7068,453
454,7068,454
455,7068,455
456,7068,456
457,7068,457
458,7068,458
459,7068,459
460,7068,460
461,7068,461
462,7068,462
463,7069,463
464,7069,464
465,7069,465
466,7069,466
467,7069,467
468,7069,468
469,7069,469
470,7069,470
471,7089,471
472,7089,472
473,7089,473
474,7089,474
475,7089,475
476,7089,476
477,7089,477
478,7089,478
479,7089,479
480,7089,480
481,7089,481
482,7089,482
483,7089,483
484,7089,484
485,7089,485
486,7089,486
487,7105,487
488,7105,488
489,7105,489
490,7105,490
491,7105,491
492,7105,492
493,7105,493
494,7105,494
495,7105,495
496,7105,496
497,7105,497
498,7105,498
499,7105,499
500,7105,500
501,7105,501
502,7105,502
503,7105,503
504,7105,504
505,7105,505
506,7109,506
507,7109,507
508,7109,508
509,7109,509
510,7109,510
511,7109,511
512,7109,512
513,7109,513
514,7109,514
515,7109,515
516,7109,516
517,7109,517
518,7109,518
519,7109,519
520,7109,520
521,7109,521
522,7109,522
523,7109,523
524,7109,524
525,7109,525
526,7109,526
527,7109,527
528,7110,528
529,7110,529
530,7110,530
531,7110,531
532,7110,532
533,7110,533
534,7110,534
535,7110,535
536,7110,536
537,7110,537
538,7134,538
539,7134,539
540,7134,540
541,7134,541
542,7134,542
